H00133,Bulbus Fritillariae Cirrhosae,,,,,
H00134,Rhizoma Coptidis,,,,,
H00135,Scutellaria hypericifolia,,,,,
H00136,Fructus Meliae Toosendan,,,,,
H00137,Caulis Clematidis Armandii,,,,,
H00138,Vladimiria souliei [Syn. Jurinea souliei],,,,,
H00139,Radix Cyathulae,,,,,
H00140,Radix Cudraniae,,,,,
H00141,NA,,,,,
H00142,Radix chuanxiong,,,,,
H00143,Herba Sedi sarmentosi,,,,,
H00144,Cortex Tooe Sinensis,,,,,
H00145,Juniperus oxycedrus,,,,,
H00146,Glycyrrhiza pallidiflora,,,,,
H00147,Pinus aristata,,,,,
H00148,NA,,,,,
H00149,Rosa roxburghii,,,,,
H00150,Eleutherococcus senticosus,,,,,
H00151,Eleutherococcus senticosus,,,,,
H00153,Hippophae rhamnoides,,,,,
H00154,Glycyrrhiza aspera,,,,,
H00155,Celastrus strigillosus,,,,,
H00156,Ficus simplicissima,,,,,
H00157,NA,,,,,
H00158,Senecio oryzetorum,,,,,
H00159,Plantago major,,,,,
H00160,Tanacetum parthenium,,,,,
H00161,Euphorbia hirta,,,,,
H00162,Coffea liberica,,,,,
H00163,Rhodiola crenulata [Syn. Rhodiola euryphylla],,,,,
H00165,Lagerstroemia speciosa,,,,,
H00166,Semen Sojae Germinatus,,,,,
H00167,Herba Cirsii Japonici;Radix Cirsii Japonici;Herba seu Radix Cirsii japonici,,,,,
H00168,Radix euphorbiae pekinensis,,,,,
H00169,Herba Cirsii Japonici;Radix Cirsii Japonici;Herba seu Radix Cirsii japonici,,,,,
H00170,Euphorbia pekinensis,,,,,
H00172,Lysimachia christinae,,,,,
H00173,Cuscuta japonica,,,,,
H00175,Selaginella doederleinii,,,,,
H00176,Ampelopsis megalophylla,,,,,
H00177,Rabdosia macrophylla,,,,,
H00179,NA,,,,,
H00180,Semen Sojae Praeparata,,,,,
H00181,Reseda luteola,,,,,
H00182,Salvia miltiorrhiza,,,,,
H00183,Lysimachia candida,,,,,
H00184,Vitex rotundifolia [Syn. Vitex trifollia var. simplicifolia ],,,,,
H00185,Ephedra monosperma,,,,,
H00186,Radix Angelicae sinensis,,,,,
H00187,Radix Codonopsis pilosulae,,,,,
H00188,Rhizoma Codonopsis pilosulae,,,,,
H00189,Semen Cavaliae,,,,,
H00190,Taraxacum obovatum,,,,,
H00191,Rhodiola atuntsuensis,,,,,
H00192,NA,,,,,
H00193,Medulla Junci,,,,,
H00194,Erigeron breviscapus,,,,,
H00195,Herba Hyperici Japonici,,,,,
H00196,Cortex Illicii,,,,,
H00197,Fructus Kochiae,,,,,
H00198,Cortex Lycii Radicis,,,,,
H00199,NA,,,,,
H00200,NA,,,,,
H00201,Herba Euphorbiae humifusae,,,,,
H00202,Cynanchum thesioides,,,,,
H00203,Radix Sanguisorbae,,,,,
H00204,Scutellaria amoena,,,,,
H00205,Onosma paniculatum,,,,,
H00206,Caulis Erycibes,,,,,
H00207,Flos Caryophylli,,,,,
H00208,Oplopanax elatus,,,,,
H00209,NA,,,,,
H00210,Cordyceps,,,,,
H00212,Semen Benincasae,,,,,
H00213,Fructus Malvae,,,,,
H00214,Rabdosia rubescens,,,,,
H00217,Fructus Amomi Rotundus,,,,,
H00219,Radix Angelicae Pubescentis,,,,,
H00220,Lamiophlomis rotata,,,,,
H00221,Cortex Eucommiae,,,,,
H00223,Coptis chinensis var. brevisepala,,,,,
H00224,Os Draconis Preparata,,,,,
H00225,Concha Arcae Preparata,,,,,
H00226,Herba Clinopodii,,,,,
H00227,Corydalis ledebouriana,,,,,
H00228,Thalictrum ichangense,,,,,
H00229,Meconopsis horridula,,,,,
H00230,Aconitum karakolicum,,,,,
H00231,Paeonia emodi,,,,,
H00232,Erigeron multiradiatus,,,,,
H00233,Aloe spp.,,,,,
H00234,Herba Centipedae,,,,,
H00235,Cynanchum chinense,,,,,
H00236,Anthriscus sylvestris,,,,,
H00237,Rhizoma Curcumae,,,,,
H00238,Hedyotis auricularia,,,,,
H00239,Catechu,,,,,
H00240,Herba Potentillae Discoloris,,,,,
H00241,Folium Sene,,,,,
H00242,Radix Saposhnikoviae divaricatae,,,,,
H00243,Eriocheir Sinensis seu Poramon,,,,,
H00244,Radix Stephaniae Tetrandrae,,,,,
H00245,Smilax menispermoidea,,,,,
H00247,Angelica furcijuga,,,,,
H00248,Pueraria lobata var. thomsonii,,,,,
H00249,NA,,,,,
H00250,Amberboa ramosa,,,,,
H00251,Petasites japonicus,,,,,
H00252,Nidus Vespae,,,,,
H00253,Apis mellifera ligustica,,,,,
H00255,Herba Pteridis multifidae,,,,,
H00256,Pteris cretica var. nervosa [Syn. Pteris nervosa ],,,,,
H00257,Herba Speranskiae tuberculatae,,,,,
H00258,NA,,,,,
H00259,Herba Gnaphalii Affinis,,,,,
H00260,Sedum lineare [Syn. Sedum obtuso-lineare ],,,,,
H00261,Citrus medica var. sarcodactylis,,,,,
H00262,Poria,,,,,
H00263,NA,,,,,
H00264,Herba Spirodelae,,,,,
H00265,Hibiscus rosa-sinensis,,,,,
H00266,Adonis amurensis,,,,,
H00267,Radix Aconiti Lateralis,,,,,
H00268,Radix Glycyrrhizae,,,,,
H00269,Radix Glycyrrhizae uralensis,,,,,
H00270,NA,,,,,
H00271,Rehmannia glutinosa [Syn. Rehmannia glutinosa f. huechingensis],,,,,
H00272,Pueraria thomsonii,,,,,
H00274,Brassica oleracea var. capitata,,,,,
H00275,Resina Toxicodendri,,,,,
H00276,Herba Dracocephali tangutici,,,,,
H00277,Radix seu Rhizoma rdostachyos,,,,,
H00278,Scutellaria rehderiana,,,,,
H00279,Crataegus kansuensis,,,,,
H00280,Radix Kansui,,,,,
H00281,Salvia przewalskii,,,,,
H00283,NA,,,,,
H00284,Sorbaria arborea,,,,,
H00285,Macropiper excelsum,,,,,
H00287,Scutellaria altissima,,,,,
H00288,Coffea excelsa,,,,,
H00289,Radix Ginseng Korea,,,,,
H00291,NA,,,,,
H00292,Radix Puerariae,,,,,
H00293,flos puerariae lobatae,,,,,
H00294,Concha Meretricis seu Cyclinae,,,,,
H00295,Actinidia rubricaulis var. coriacea,,,,,
H00296,Caulis Mahoniae,,,,,
H00297,NA,,,,,
H00298,Ilex cornuta,,,,,
H00299,NA,,,,,
H00300,NA,,,,,
H00301,Cudrania cochinchinensis,,,,,
H00302,Poncirus trifoliata,,,,,
H00303,Poncirus trifoliata,,,,,
H00304,NA,,,,,
H00305,Lycium chinense,,,,,
H00306,Lycium chinense,,,,,
H00307,Fructus Lycii,,,,,
H00308,Broussonetia papyrifera,,,,,
H00309,Ramulus Uncariae cum Uncis,,,,,
H00310,Ancistrocladus korupensis,,,,,
H00311,Flos Eriocauli,,,,,
H00312,Erythroxylum coca,,,,,
H00313,Rhizoma Dryriae,,,,,
H00314,NA,,,,,
H00315,Calycis Melo,,,,,
H00316,NA,,,,,
